row_s,col_s,row_e,col_e,duration,timestamp,car,distance
5,6,7,3,2208.18999982,1399414239.64,179/ET821WT,4949.66789749
6,7,6,6,941.859999895,1399415505.97,414/EV632NT,2567.87719561
7,3,6,5,1350.22000003,1399415179.24,233/ET875WT,4408.6871128
6,6,5,6,1676.91000009,1399414934.22,064/ET706WT,3382.80443079
5,5,3,3,1636.63000011,1399415118.01,280/ET922WT,4526.90017215
3,3,2,4,1493.68000007,1399415260.96,396/EV615NT,3709.52743758
4,5,3,5,633.769999981,1399416222.94,360/EV579NT,1440.42497246
5,7,6,4,737.099999905,1399416222.94,426/EV644NT,4996.07959884
8,7,5,6,984.849999905,1399415996.44,228/ET870WT,5991.29309237
6,4,3,4,1659.07999992,1399415322.22,422/EV640NT,6386.63808524
6,3,7,1,1884.95000005,1399415158.82,203/ET845WT,5313.67991543
6,3,4,6,2885.76999998,1399414239.64,201/ET843WT,7259.38956962
5,6,6,5,1986.99000001,1399415138.42,436/EV654NT,1397.43416057
4,4,4,5,1415.4000001,1399415853.07,126/ET768WT,1732.85765206
6,3,6,0,1312.85000014,1399415955.62,073/ET715WT,4076.63993307
7,6,7,4,2170.88000011,1399415158.82,351/EV570NT,2789.32752875
4,2,4,6,4539.71000004,1399412830.81,408/EV298TP,6242.83199052
6,3,6,2,1045.22000003,1399416427.35,207/ET849WT,1984.37258969
6,2,4,7,2477.02999997,1399415097.59,488/EV324TP,8208.11969554
5,1,6,0,428.730000019,1399417186.7,219/ET861WT,2159.78294825
7,3,5,6,901.600000143,1399416836.29,450/EV667NT,7275.92846286
6,6,6,6,1249.24000001,1399416509.06,414/EV632NT,1107.79578204
5,6,3,2,3355.31999993,1399414545.97,005/ET647WT,7093.72370959
6,6,6,3,3436.97000003,1399414464.32,467/EV304TP,4472.63821327
5,7,4,7,469.799999952,1399417452.15,220/ET862WT,693.411998949
4,6,5,6,1842.25999999,1399416140.92,222/ET864WT,927.714795863
7,6,8,7,1821.48000002,1399416222.94,133/ET775WT,2752.00326947
4,2,2,5,735.130000114,1399417350.11,122/ET764WT,6221.03193933
6,6,6,6,2128.03999996,1399416140.92,298/ET940WT,543.030635398
1,4,2,3,1780.30999994,1399416590.72,019/ET661WT,2153.62888534
7,2,3,5,3396.07000017,1399415015.85,001/ET294WS,10333.1854014
5,6,6,5,6807.41000009,1399411604.51,046/ET688WT,2942.86616842
4,3,5,2,1286.48000002,1399417166.26,294/ET936WT,3047.50361807
3,4,2,3,489.970000029,1399417962.77,422/EV640NT,2708.20294267
7,4,7,6,2476.17999983,1399416017.38,232/ET874WT,3147.2556428
6,6,6,7,755.679999828,1399417799.16,078/ET720WT,2239.06267324
6,3,6,5,2209.53000021,1399416427.35,202/ET844WT,3499.35492571
6,5,4,5,1491.55999994,1399417207.16,436/EV654NT,3287.73603202
4,3,6,6,2475.46000004,1399416427.35,290/ET932WT,6078.77430472
7,6,5,5,1124.08999991,1399417840.01,390/EV609NT,5595.35526681
6,2,6,6,1267.05999994,1399417737.89,305/EV489NT,5512.18360071
7,6,5,7,4172.83999991,1399414852.51,335/EV527NT,5148.28310369
7,4,3,3,2212.25,1399416897.59,212/ET854WT,6787.26454069
5,3,6,2,1331.07000017,1399417880.82,470/EV307TP,2633.94356817
5,5,5,5,247.75999999,1399419004.95,390/EV609NT,147.35488969
5,6,5,7,1637.31999993,1399417656.25,077/ET719WT,950.786419474
6,4,5,7,1761.54999995,1399417717.48,426/EV644NT,4781.79365673
5,5,7,6,2826.88999987,1399416713.38,190/ET832WT,3750.35680957
5,6,7,6,1414.17000008,1399418146.51,222/ET864WT,5111.44288597
5,6,6,6,512.789999962,1399419150.65,260/ET902WT,2228.05167916
6,3,4,7,2374.57000017,1399417288.87,267/ET909WT,6341.83546926
6,6,6,1,1884.68000007,1399417880.82,323/EV532NT,8115.00924644
6,7,5,7,1107.60000014,1399418678.31,008/ET650WT,2517.90891079
3,4,6,6,1598.58999991,1399418228.14,186/ET828WT,6597.74040059
6,5,7,4,823.649999857,1399419066.17,202/ET844WT,2545.56699992
4,4,4,4,2621.99000001,1399417452.15,265/ET907WT,107.960562111
6,7,6,8,656.450000048,1399419417.69,226/ET868WT,963.564320542
7,7,8,6,780.570000172,1399419293.57,281/ET923WT,1458.90221358
6,7,6,7,1703.05999994,1399418534.38,011/ET653WT,1084.17836618
6,2,6,2,1457.0999999,1399418861.98,295/ET937WT,284.619997063
5,2,3,3,2172.6400001,1399418371.03,076/ET718WT,4093.76467359
5,6,6,5,694.289999962,1399419992.45,131/ET773WT,3017.33418531
4,4,5,6,2806.23000002,1399418146.51,088/ET730WT,3920.9855454
5,4,7,6,2561.25,1399418493.56,317/EV509NT,4905.78565826
5,3,1,5,2458.75999999,1399418616.47,239/ET881WT,8785.24618682
6,7,5,5,758.279999971,1399420666.26,079/ET721WT,3748.31826092
6,2,5,1,1863.20000005,1399419704.27,470/EV307TP,2151.23856742
6,8,6,8,5160.49000001,1399416529.47,473/EV310TP,52.1726800333
6,2,4,4,2353.92000008,1399419397.28,207/ET849WT,5205.27197938
4,5,5,7,1513.75,1399420257.85,393/EV612NT,2480.80955154
6,6,5,6,2497.5999999,1399419848.49,260/ET902WT,1937.61873876
3,4,8,7,1495.40999985,1399420911.92,129/ET771WT,10592.3890254
1,4,6,2,1536.28999996,1399420911.92,283/ET925WT,10075.2586568
